ID;PAROLA;MacroCategoria;Categoria;Necessita;Frequenza;Stagionalita;Fonte;Peso;NumeroPattern;NumeroTransazioni;UltimoUtilizzo
366;ARIDA CAFFE;Alimentari;Bar;Utile;Occasionale;Tutto l'anno;Migrazione;77;13;1;06/05/2025
367;CAFFETTERIA;Alimentari;Bar;Utile;Occasionale;Tutto l'anno;Migrazione;75;13;1;02/04/2025
368;FAUST SATYRUS;Alimentari;Bar;Utile;Occasionale;Tutto l'anno;Migrazione;70;13;1;22/06/2024
369;FRAGISKOS;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;72;13;1;21/07/2024
370;IDEA KAFE;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;77;13;1;22/07/2024
371;KATSANIS;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;73;13;1;24/07/2024
372;LA BOTTEGA DEL CAFFE';Alimentari;Bar;Utile;Occasionale;Tutto l'anno;Migrazione;78;13;1;14/09/2024
373;MOYSTAKIS;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;75;13;1;24/07/2024
374;MY COFFEE;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;78;13;1;21/07/2024
375;OPEC;Alimentari;Bar;Utile;Occasionale;Tutto l'anno;Migrazione;70;13;1;22/06/2025
376;RELAX;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;77;13;1;22/07/2024
377;SKOULATOS;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;75;13;1;22/07/2024
378;STARBUCKS;Alimentari;Bar;Voluttuario;Occasionale;Estera;Migrazione;95;13;1;25/04/2025
379;A BRASILEIRA;Alimentari;Caffetteria;Voluttuario;Occasionale;Estiva;Migrazione;70;1;1;20/12/2024
380;ANAGNINA FOOD KIOSK;Alimentari;Chiosco;Voluttuario;Occasionale;Tutto l'anno;Migrazione;79;1;1;18/05/2025
381;ROMANA FLORA;Alimentari;Fiori;Utile;Occasionale;Tutto l'anno;Migrazione;70;1;1;14/02/2025
