ID;PAROLA;MacroCategoria;Categoria;Necessita;Frequenza;Stagionalita;Fonte;Peso
366;ARIDA CAFFE;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Tutto l'anno;Migrazione;77
367;CAFFETTERIA;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Tutto l'anno;Migrazione;75
368;FAUST SATYRUS;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Tutto l'anno;Migrazione;70
369;FRAGISKOS;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;72
370;IDEA KAFE;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;77
371;KATSANIS;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;73
372;LA BOTTEGA DEL CAFFE';Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Tutto l'anno;Migrazione;78
373;MOYSTAKIS;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;75
374;MY COFFEE;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;78
375;OPEC;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Tutto l'anno;Migrazione;70
376;RELAX;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;77
377;SKOULATOS;Alimentari e Ristorazione;Bar e Caffe;Utile;Occasionale;Estiva;Migrazione;75
378;STARBUCKS;Alimentari e Ristorazione;Bar e Caffe;Voluttuario;Occasionale;Estera;Migrazione;95
379;A BRASILEIRA;Alimentari e Ristorazione;Bar e Caffe;Voluttuario;Occasionale;Estiva;Migrazione;70
384;AMI POKE';Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75
385;AMOR DI GUSTO;Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;78
386;ARGU;Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80
387;BISTROT;Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;82
388;BOLOGNA FOOD GALLERY;Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75
389;CR ITALY;Alimentari e Ristorazione;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75
